consumidor,tipo_inmueble,moneda_region,uso_horario_pico,cantidad_equipos,horas_alto_consumo,consumo_kwh,perfil_energetico
Usuario_439,Oficina,ARS,True,28,13,365.16,Eficiente
Usuario_440,Casa,USD,True,29,9,279.68,Eficiente
Usuario_441,Oficina,COP,False,18,10,593.85,Eficiente
Usuario_442,Comercio,PEN,True,12,12,464.83,Eficiente
Usuario_443,Comercio,PEN,False,13,2,1023.7,Moderado
Usuario_444,Comercio,ARS,True,2,6,1093.05,Ineficiente
Usuario_445,Oficina,CLP,True,37,3,423.37,Eficiente
Usuario_446,Comercio,CLP,True,16,11,735.07,Moderado
Usuario_447,Oficina,BRL,True,24,6,311.07,Eficiente
Usuario_448,Apartamento,PEN,True,35,3,272.96,Eficiente
Usuario_449,Casa,USD,False,22,8,354.87,Eficiente
Usuario_450,Casa,COP,False,36,11,304.52,Eficiente
Usuario_451,Oficina,PEN,True,11,13,403.42,Eficiente
Usuario_452,Apartamento,MXN,False,29,4,275.89,Eficiente
Usuario_453,Oficina,COP,False,35,12,508.11,Eficiente
Usuario_454,Apartamento,BRL,False,15,10,171.53,Eficiente
Usuario_455,Comercio,CLP,True,31,6,902.38,Moderado
Usuario_456,Apartamento,PEN,True,16,9,256.32,Eficiente
Usuario_457,Apartamento,ARS,True,10,2,320.91,Moderado
Usuario_458,Apartamento,MXN,False,32,2,157.84,Eficiente
Usuario_459,Casa,PEN,True,2,7,484.98,Ineficiente
Usuario_460,Apartamento,BRL,True,24,2,280.17,Eficiente
Usuario_461,Comercio,USD,True,23,2,500.51,Eficiente
Usuario_462,Comercio,MXN,True,2,4,906.37,Moderado
Usuario_463,Comercio,BRL,False,38,9,729.08,Eficiente
Usuario_464,Apartamento,PEN,True,31,8,339.9,Eficiente
Usuario_465,Oficina,USD,True,26,2,370.81,Eficiente
Usuario_466,Oficina,MXN,False,29,8,621.42,Eficiente
Usuario_467,Comercio,USD,False,3,4,687.39,Eficiente
Usuario_468,Casa,USD,False,14,2,544.89,Moderado
Usuario_469,Oficina,MXN,False,25,11,464.99,Eficiente
Usuario_470,Apartamento,MXN,False,1,10,343.68,Ineficiente
Usuario_471,Oficina,USD,True,3,7,750.74,Ineficiente
Usuario_472,Comercio,BRL,True,26,6,609.27,Eficiente
Usuario_473,Casa,CLP,False,18,10,491.24,Moderado
Usuario_474,Oficina,MXN,False,9,5,797.8,Moderado
Usuario_475,Oficina,PEN,False,38,11,426.33,Eficiente
Usuario_476,Comercio,COP,True,23,1,725.74,Eficiente
Usuario_477,Casa,ARS,True,21,2,392.06,Eficiente
Usuario_478,Casa,USD,True,1,8,313.23,Eficiente
Usuario_479,Comercio,USD,True,21,1,430.69,Eficiente
Usuario_480,Apartamento,ARS,True,27,3,180.43,Eficiente
Usuario_481,Oficina,CLP,False,6,2,440.97,Eficiente
Usuario_482,Apartamento,ARS,True,36,5,229.59,Eficiente
Usuario_483,Oficina,MXN,True,28,4,385.55,Eficiente
Usuario_484,Oficina,ARS,True,17,13,736.63,Moderado
Usuario_485,Apartamento,USD,False,3,7,287.08,Moderado
Usuario_486,Comercio,ARS,True,12,5,479.64,Eficiente
Usuario_487,Comercio,COP,True,39,8,875.06,Eficiente
Usuario_488,Oficina,PEN,True,12,4,626.83,Moderado
Usuario_489,Comercio,MXN,True,2,12,1089.35,Ineficiente
Usuario_490,Oficina,ARS,False,22,6,301.51,Eficiente
Usuario_491,Comercio,USD,False,23,4,593.55,Eficiente
Usuario_492,Oficina,BRL,True,30,2,763.9,Eficiente
Usuario_493,Comercio,PEN,True,5,1,1072.49,Ineficiente
Usuario_494,Casa,MXN,False,9,1,462.21,Eficiente
Usuario_495,Apartamento,USD,True,21,8,300.47,Eficiente
Usuario_496,Casa,CLP,True,11,4,242.02,Eficiente
Usuario_497,Apartamento,COP,True,5,5,245.05,Eficiente
Usuario_498,Apartamento,CLP,False,35,11,182.95,Eficiente
Usuario_499,Oficina,COP,True,27,8,390.61,Eficiente
Usuario_500,Apartamento,ARS,True,2,12,310.27,Ineficiente
Usuario_501,Casa,MXN,False,24,7,257.26,Eficiente
Usuario_502,Casa,ARS,True,31,13,374.03,Eficiente
Usuario_503,Comercio,COP,True,33,8,1077.0,Moderado
Usuario_504,Casa,COP,False,39,13,275.04,Eficiente
Usuario_505,Comercio,COP,True,30,8,1104.6,Moderado
Usuario_506,Apartamento,PEN,False,37,6,350.74,Eficiente
Usuario_507,Casa,USD,True,28,10,404.47,Eficiente
Usuario_508,Apartamento,MXN,True,31,2,169.43,Eficiente
Usuario_509,Casa,ARS,True,11,6,320.64,Eficiente
Usuario_510,Casa,ARS,True,23,1,358.57,Eficiente
Usuario_511,Comercio,CLP,True,2,1,636.53,Moderado
Usuario_512,Apartamento,COP,False,27,11,193.74,Eficiente
Usuario_513,Casa,BRL,True,35,3,550.28,Eficiente
Usuario_514,Oficina,COP,True,2,3,376.68,Eficiente
Usuario_515,Apartamento,COP,True,39,11,293.33,Eficiente
Usuario_516,Apartamento,BRL,False,37,13,132.09,Eficiente
Usuario_517,Apartamento,ARS,True,21,5,263.16,Eficiente
Usuario_518,Comercio,CLP,True,5,1,1061.16,Ineficiente
Usuario_519,Oficina,USD,True,21,10,443.97,Eficiente
Usuario_520,Apartamento,BRL,True,29,6,172.82,Eficiente
Usuario_521,Casa,PEN,True,20,7,438.09,Eficiente
Usuario_522,Casa,MXN,False,38,10,459.41,Eficiente
Usuario_523,Comercio,BRL,True,20,12,901.62,Moderado
Usuario_524,Casa,USD,True,25,13,321.76,Eficiente
Usuario_525,Apartamento,ARS,True,2,11,187.48,Eficiente
Usuario_526,Casa,PEN,False,32,3,544.57,Eficiente
Usuario_527,Apartamento,PEN,True,26,4,335.13,Eficiente
Usuario_528,Casa,PEN,True,6,10,370.06,Moderado
Usuario_529,Oficina,COP,True,3,11,723.1,Ineficiente
Usuario_530,Comercio,MXN,True,33,10,736.63,Eficiente
Usuario_531,Comercio,ARS,True,1,12,717.07,Moderado
Usuario_532,Oficina,ARS,True,5,10,378.38,Eficiente
Usuario_533,Oficina,PEN,True,13,10,513.2,Moderado
Usuario_534,Comercio,ARS,True,19,10,796.19,Moderado
Usuario_535,Oficina,MXN,True,12,3,311.25,Eficiente
Usuario_536,Apartamento,MXN,True,25,1,229.7,Eficiente
Usuario_537,Casa,CLP,True,35,8,483.47,Eficiente
Usuario_538,Comercio,BRL,False,12,13,896.03,Eficiente
Usuario_539,Oficina,BRL,False,30,10,617.58,Eficiente
Usuario_540,Apartamento,CLP,False,5,10,332.1,Ineficiente
Usuario_541,Comercio,USD,False,34,2,432.62,Eficiente
Usuario_542,Oficina,BRL,False,22,1,578.52,Eficiente
Usuario_543,Comercio,MXN,False,39,8,971.14,Eficiente
Usuario_544,Oficina,MXN,True,13,7,570.67,Eficiente
Usuario_545,Comercio,BRL,False,3,7,646.73,Eficiente
Usuario_546,Apartamento,MXN,True,20,4,161.98,Eficiente
Usuario_547,Apartamento,CLP,True,31,11,327.26,Eficiente
Usuario_548,Casa,PEN,False,5,9,374.77,Moderado
Usuario_549,Comercio,PEN,True,24,6,1034.68,Ineficiente
Usuario_550,Casa,ARS,True,33,2,415.05,Eficiente
Usuario_551,Comercio,PEN,False,8,1,891.93,Moderado
Usuario_552,Oficina,COP,True,24,1,702.13,Moderado
Usuario_553,Oficina,CLP,True,20,9,629.58,Moderado
Usuario_554,Casa,MXN,False,16,4,349.32,Eficiente
Usuario_555,Comercio,BRL,False,12,5,779.54,Eficiente
Usuario_556,Casa,PEN,True,13,3,491.07,Moderado
Usuario_557,Apartamento,CLP,True,39,4,214.2,Eficiente
Usuario_558,Casa,PEN,True,25,12,345.84,Eficiente
Usuario_559,Casa,USD,False,32,8,243.49,Eficiente
Usuario_560,Oficina,MXN,True,24,13,757.29,Moderado
Usuario_561,Casa,USD,True,9,4,241.86,Eficiente
Usuario_562,Comercio,MXN,True,23,9,873.75,Moderado
Usuario_563,Oficina,CLP,True,13,9,506.6,Moderado
Usuario_564,Casa,ARS,False,32,6,351.97,Eficiente
Usuario_565,Apartamento,PEN,True,15,2,281.5,Eficiente
Usuario_566,Casa,PEN,False,36,12,233.48,Eficiente
Usuario_567,Casa,COP,True,5,10,417.8,Moderado
Usuario_568,Casa,BRL,False,22,11,480.21,Eficiente
Usuario_569,Oficina,USD,False,16,7,714.11,Moderado
Usuario_570,Comercio,PEN,True,10,9,539.37,Eficiente
Usuario_571,Apartamento,CLP,True,24,6,329.43,Eficiente
Usuario_572,Casa,ARS,True,18,3,439.65,Eficiente
Usuario_573,Comercio,BRL,False,18,7,1037.3,Eficiente
Usuario_574,Comercio,CLP,True,7,5,759.7,Moderado
Usuario_575,Oficina,USD,False,4,1,571.02,Moderado
Usuario_576,Apartamento,COP,False,26,3,334.19,Eficiente
Usuario_577,Oficina,PEN,False,5,5,749.95,Ineficiente
Usuario_578,Comercio,CLP,False,16,7,733.71,Eficiente
Usuario_579,Comercio,BRL,True,35,3,612.09,Eficiente
Usuario_580,Comercio,MXN,True,26,6,695.22,Eficiente
Usuario_581,Oficina,ARS,True,18,5,493.88,Eficiente
Usuario_582,Apartamento,BRL,False,29,13,195.11,Eficiente
Usuario_583,Casa,CLP,False,23,1,304.0,Eficiente
Usuario_584,Oficina,ARS,False,14,10,730.53,Moderado
Usuario_585,Comercio,PEN,True,15,6,468.9,Eficiente
Usuario_586,Oficina,MXN,True,33,8,638.81,Eficiente
Usuario_587,Comercio,COP,False,25,13,540.97,Eficiente
Usuario_588,Casa,BRL,True,21,13,330.58,Eficiente
Usuario_589,Casa,COP,True,17,1,231.54,Eficiente
Usuario_590,Apartamento,MXN,False,23,2,191.39,Eficiente
Usuario_591,Comercio,ARS,True,17,4,957.89,Moderado
Usuario_592,Apartamento,PEN,True,14,12,326.7,Moderado
Usuario_593,Apartamento,CLP,True,29,2,180.74,Eficiente
Usuario_594,Casa,MXN,True,20,11,372.24,Eficiente
Usuario_595,Oficina,USD,False,30,9,535.16,Eficiente
Usuario_596,Oficina,ARS,True,19,10,736.79,Moderado
Usuario_597,Apartamento,COP,True,39,8,299.82,Eficiente
Usuario_598,Casa,BRL,True,13,8,389.58,Eficiente
Usuario_599,Comercio,MXN,False,18,4,889.52,Eficiente
Usuario_600,Oficina,COP,True,23,5,723.68,Moderado
Usuario_601,Apartamento,ARS,True,33,4,134.1,Eficiente
Usuario_602,Oficina,COP,True,39,13,501.45,Eficiente
Usuario_603,Oficina,MXN,True,18,9,753.62,Moderado
Usuario_604,Comercio,ARS,True,9,13,938.22,Ineficiente
Usuario_605,Casa,USD,False,33,2,399.99,Eficiente
Usuario_606,Comercio,MXN,False,32,13,790.75,Eficiente
Usuario_607,Casa,CLP,True,17,11,331.72,Eficiente
Usuario_608,Oficina,PEN,True,19,8,560.26,Eficiente
Usuario_609,Apartamento,MXN,False,27,2,276.18,Eficiente
Usuario_610,Comercio,ARS,True,6,1,712.85,Eficiente
Usuario_611,Casa,BRL,False,35,10,459.95,Eficiente
Usuario_612,Oficina,PEN,True,37,3,730.62,Moderado
Usuario_613,Casa,MXN,False,34,9,264.14,Eficiente
Usuario_614,Casa,USD,False,20,12,368.04,Eficiente
Usuario_615,Casa,BRL,False,25,3,352.81,Eficiente
Usuario_616,Oficina,USD,False,4,9,643.73,Moderado
Usuario_617,Apartamento,CLP,True,10,7,186.97,Eficiente
Usuario_618,Apartamento,BRL,False,10,13,272.86,Eficiente
Usuario_619,Apartamento,COP,True,24,10,325.05,Eficiente
Usuario_620,Casa,BRL,True,21,1,356.35,Eficiente
Usuario_621,Oficina,PEN,False,11,10,755.51,Ineficiente
Usuario_622,Casa,BRL,False,27,5,557.61,Eficiente
Usuario_623,Apartamento,ARS,False,16,9,155.34,Eficiente
Usuario_624,Apartamento,ARS,True,26,12,183.27,Eficiente
Usuario_625,Oficina,COP,False,30,3,775.19,Eficiente
Usuario_626,Casa,BRL,False,16,9,545.41,Eficiente
Usuario_627,Comercio,USD,True,7,5,488.4,Eficiente
Usuario_628,Comercio,USD,True,16,9,430.5,Eficiente
Usuario_629,Apartamento,MXN,True,35,10,167.44,Eficiente
Usuario_630,Oficina,CLP,True,16,6,798.01,Ineficiente
Usuario_631,Casa,PEN,False,12,9,273.0,Eficiente
Usuario_632,Casa,CLP,False,35,7,385.89,Eficiente
Usuario_633,Apartamento,BRL,False,21,7,318.65,Eficiente
Usuario_634,Apartamento,CLP,False,36,8,136.49,Eficiente
Usuario_635,Casa,MXN,True,17,7,421.57,Eficiente
Usuario_636,Casa,CLP,False,32,12,306.96,Eficiente
Usuario_637,Apartamento,COP,True,6,9,321.71,Ineficiente
Usuario_638,Casa,MXN,False,24,11,309.21,Eficiente
Usuario_639,Comercio,COP,True,27,9,900.73,Moderado
Usuario_640,Apartamento,BRL,False,20,6,280.33,Eficiente
Usuario_641,Casa,MXN,True,25,7,287.52,Eficiente
Usuario_642,Apartamento,BRL,True,2,2,139.66,Eficiente
Usuario_643,Oficina,BRL,False,9,9,504.62,Eficiente
Usuario_644,Apartamento,CLP,True,28,12,195.62,Eficiente
Usuario_645,Apartamento,COP,False,38,13,309.98,Eficiente
Usuario_646,Oficina,BRL,True,3,1,700.18,Moderado
Usuario_647,Comercio,COP,False,20,1,739.92,Eficiente
Usuario_648,Casa,COP,True,6,3,422.28,Moderado
Usuario_649,Oficina,MXN,True,39,12,602.13,Eficiente
Usuario_650,Apartamento,ARS,True,33,6,313.97,Eficiente
Usuario_651,Casa,CLP,True,1,5,358.75,Moderado
Usuario_652,Oficina,BRL,True,37,2,437.72,Eficiente
Usuario_653,Casa,COP,True,6,9,302.76,Eficiente
Usuario_654,Casa,PEN,True,34,13,397.67,Eficiente
Usuario_655,Oficina,ARS,True,15,10,524.57,Eficiente
Usuario_656,Casa,BRL,True,26,4,364.04,Eficiente
Usuario_657,Comercio,PEN,False,14,4,483.8,Eficiente
Usuario_658,Oficina,CLP,True,7,5,659.3,Ineficiente
Usuario_659,Comercio,CLP,True,31,8,569.62,Eficiente
Usuario_660,Apartamento,COP,False,24,10,175.33,Eficiente
Usuario_661,Casa,COP,True,31,4,354.47,Eficiente
Usuario_662,Apartamento,BRL,False,29,5,182.11,Eficiente
Usuario_663,Apartamento,MXN,True,32,12,260.45,Eficiente
Usuario_664,Casa,ARS,True,17,4,340.01,Eficiente
Usuario_665,Oficina,BRL,True,14,6,524.46,Eficiente
Usuario_666,Casa,ARS,False,36,12,398.01,Eficiente
Usuario_667,Apartamento,COP,False,24,3,176.78,Eficiente
Usuario_668,Apartamento,CLP,True,27,8,166.27,Eficiente
Usuario_669,Oficina,COP,True,25,6,740.21,Moderado
Usuario_670,Casa,CLP,False,32,10,361.8,Eficiente
Usuario_671,Apartamento,BRL,True,18,5,222.66,Eficiente
Usuario_672,Comercio,CLP,True,18,13,444.93,Eficiente
Usuario_673,Apartamento,COP,False,37,2,241.55,Eficiente
Usuario_674,Apartamento,USD,False,26,10,253.92,Eficiente
Usuario_675,Oficina,ARS,True,9,10,579.42,Moderado
Usuario_676,Comercio,PEN,False,35,7,914.92,Eficiente
Usuario_677,Apartamento,CLP,False,8,2,171.05,Eficiente
Usuario_678,Apartamento,CLP,True,20,1,187.49,Eficiente
Usuario_679,Comercio,USD,True,22,7,987.51,Moderado
Usuario_680,Casa,BRL,True,19,5,541.51,Eficiente
Usuario_681,Casa,BRL,False,30,1,257.58,Eficiente
Usuario_682,Apartamento,BRL,False,28,4,241.48,Eficiente
Usuario_683,Apartamento,PEN,True,35,12,179.12,Eficiente
Usuario_684,Casa,MXN,False,11,13,231.03,Eficiente
Usuario_685,Oficina,USD,True,31,4,462.75,Eficiente
Usuario_686,Comercio,PEN,True,39,10,520.58,Eficiente
Usuario_687,Comercio,USD,True,36,7,916.95,Moderado
Usuario_688,Oficina,CLP,True,30,9,566.86,Moderado
Usuario_689,Oficina,ARS,False,23,2,371.92,Eficiente
Usuario_690,Oficina,USD,True,19,12,304.62,Eficiente
Usuario_691,Oficina,MXN,False,12,1,704.08,Eficiente
Usuario_692,Oficina,COP,True,15,2,388.1,Eficiente
Usuario_693,Oficina,PEN,True,31,7,603.11,Eficiente
Usuario_694,Comercio,USD,False,37,13,655.85,Eficiente
Usuario_695,Oficina,USD,True,37,10,592.74,Eficiente
Usuario_696,Casa,MXN,True,15,6,320.48,Eficiente
Usuario_697,Oficina,ARS,True,29,4,343.47,Eficiente
Usuario_698,Oficina,USD,False,26,1,411.48,Eficiente
Usuario_699,Comercio,USD,True,2,13,551.64,Eficiente
Usuario_700,Comercio,ARS,True,20,1,719.61,Eficiente
Usuario_701,Oficina,MXN,True,15,5,629.14,Eficiente
Usuario_702,Comercio,PEN,True,4,1,604.66,Eficiente
Usuario_703,Apartamento,PEN,False,22,12,134.66,Eficiente
Usuario_704,Comercio,USD,True,38,7,783.26,Eficiente
Usuario_705,Comercio,ARS,True,23,13,844.03,Moderado
Usuario_706,Comercio,USD,True,26,11,1094.01,Ineficiente
Usuario_707,Comercio,BRL,True,11,1,832.63,Eficiente
Usuario_708,Casa,COP,False,28,1,374.91,Eficiente
Usuario_709,Casa,PEN,True,2,2,410.69,Ineficiente
Usuario_710,Casa,BRL,False,8,13,534.77,Moderado
Usuario_711,Oficina,CLP,True,29,11,714.19,Ineficiente
Usuario_712,Oficina,COP,True,11,12,461.49,Eficiente
Usuario_713,Apartamento,USD,False,37,10,184.2,Eficiente
Usuario_714,Casa,MXN,True,18,3,301.92,Eficiente
Usuario_715,Oficina,PEN,False,14,13,552.21,Eficiente
Usuario_716,Comercio,CLP,False,10,11,940.83,Ineficiente
Usuario_717,Comercio,COP,True,35,1,772.25,Eficiente
Usuario_718,Casa,PEN,True,9,9,233.73,Eficiente
Usuario_719,Apartamento,ARS,False,35,10,291.19,Eficiente
Usuario_720,Apartamento,MXN,True,11,8,309.31,Eficiente
Usuario_721,Comercio,COP,True,12,5,622.65,Eficiente
Usuario_722,Apartamento,ARS,True,3,13,278.11,Moderado
Usuario_723,Casa,BRL,True,39,11,359.31,Eficiente
Usuario_724,Comercio,USD,False,14,2,1042.38,Moderado
Usuario_725,Oficina,ARS,True,28,5,722.61,Eficiente
Usuario_726,Oficina,COP,True,11,6,562.72,Eficiente
Usuario_727,Apartamento,COP,False,39,1,284.13,Eficiente
Usuario_728,Comercio,BRL,True,25,11,1038.34,Moderado
Usuario_729,Comercio,USD,True,21,4,767.0,Eficiente
Usuario_730,Oficina,ARS,False,10,9,456.63,Eficiente
Usuario_731,Comercio,ARS,True,15,2,947.57,Moderado
Usuario_732,Comercio,USD,False,19,5,574.05,Eficiente
Usuario_733,Comercio,ARS,False,22,1,691.97,Eficiente
Usuario_734,Apartamento,PEN,True,21,4,322.46,Eficiente
Usuario_735,Comercio,USD,True,32,4,927.1,Moderado
Usuario_736,Casa,MXN,True,23,6,351.33,Eficiente
Usuario_737,Apartamento,COP,True,13,10,179.24,Eficiente
Usuario_738,Comercio,MXN,False,5,9,669.18,Eficiente
Usuario_739,Comercio,PEN,False,4,3,618.87,Eficiente
Usuario_740,Casa,BRL,True,28,9,271.63,Eficiente
Usuario_741,Apartamento,PEN,False,14,6,295.53,Eficiente
Usuario_742,Oficina,CLP,False,8,7,426.03,Eficiente
Usuario_743,Oficina,CLP,False,9,12,527.08,Moderado
Usuario_744,Apartamento,CLP,True,35,10,216.89,Eficiente
Usuario_745,Comercio,USD,True,37,2,1107.45,Moderado
Usuario_746,Comercio,ARS,True,21,11,693.76,Eficiente
Usuario_747,Oficina,PEN,False,18,10,339.99,Eficiente
Usuario_748,Oficina,MXN,True,33,6,344.91,Eficiente
Usuario_749,Oficina,BRL,True,8,6,595.38,Eficiente
Usuario_750,Casa,MXN,True,17,2,419.78,Eficiente
Usuario_751,Oficina,MXN,True,31,2,509.38,Eficiente
Usuario_752,Casa,MXN,True,34,2,361.15,Eficiente
Usuario_753,Apartamento,BRL,False,6,10,143.87,Eficiente
Usuario_754,Comercio,CLP,True,22,12,781.58,Moderado
Usuario_755,Oficina,MXN,True,14,1,552.37,Eficiente
Usuario_756,Comercio,BRL,True,3,5,524.68,Eficiente
Usuario_757,Comercio,BRL,True,12,8,492.69,Eficiente
Usuario_758,Oficina,ARS,True,36,2,361.79,Eficiente
Usuario_759,Oficina,BRL,True,12,13,350.51,Eficiente
Usuario_760,Apartamento,CLP,True,2,5,266.14,Ineficiente
Usuario_761,Casa,MXN,True,2,12,278.77,Eficiente
Usuario_762,Casa,BRL,True,15,8,298.0,Eficiente
Usuario_763,Comercio,USD,True,23,10,541.5,Eficiente
Usuario_764,Oficina,BRL,False,29,5,778.92,Eficiente
Usuario_765,Apartamento,COP,False,17,2,320.02,Eficiente
Usuario_766,Apartamento,COP,True,32,3,182.71,Eficiente
Usuario_767,Apartamento,COP,True,7,6,204.06,Eficiente
Usuario_768,Apartamento,BRL,False,30,11,178.18,Eficiente
Usuario_769,Apartamento,CLP,True,28,11,240.21,Eficiente
Usuario_770,Casa,MXN,False,14,5,216.86,Eficiente
Usuario_771,Casa,PEN,False,30,11,444.98,Eficiente
Usuario_772,Casa,PEN,True,17,4,393.11,Eficiente
Usuario_773,Oficina,PEN,True,32,4,749.32,Moderado
Usuario_774,Comercio,CLP,False,6,5,535.07,Eficiente
Usuario_775,Apartamento,ARS,True,24,2,308.9,Eficiente
Usuario_776,Oficina,USD,True,6,9,695.98,Ineficiente
Usuario_777,Apartamento,USD,True,27,2,159.98,Eficiente
Usuario_778,Casa,COP,True,18,10,349.5,Eficiente
Usuario_779,Oficina,COP,False,24,2,385.08,Eficiente
Usuario_780,Casa,BRL,False,37,10,299.15,Eficiente
Usuario_781,Apartamento,PEN,False,24,9,189.91,Eficiente
Usuario_782,Apartamento,BRL,True,38,3,254.37,Eficiente
Usuario_783,Comercio,PEN,True,34,10,707.99,Eficiente
Usuario_784,Apartamento,COP,True,15,7,340.5,Moderado
Usuario_785,Casa,MXN,True,11,4,254.23,Eficiente
Usuario_786,Apartamento,ARS,True,22,13,346.21,Eficiente
Usuario_787,Comercio,BRL,False,24,13,581.45,Eficiente
Usuario_788,Comercio,ARS,False,1,6,961.01,Moderado
Usuario_789,Casa,ARS,True,18,4,328.64,Eficiente
Usuario_790,Oficina,ARS,False,12,10,371.54,Eficiente
Usuario_791,Apartamento,COP,True,28,7,320.74,Eficiente
Usuario_792,Comercio,USD,True,7,1,636.2,Eficiente
Usuario_793,Apartamento,COP,False,23,3,276.95,Eficiente
Usuario_794,Apartamento,ARS,True,21,13,256.62,Eficiente
Usuario_795,Oficina,COP,False,34,3,535.88,Eficiente
Usuario_796,Comercio,ARS,False,11,1,767.07,Eficiente
Usuario_797,Apartamento,CLP,True,22,6,293.09,Eficiente
Usuario_798,Comercio,PEN,False,35,13,481.44,Eficiente
Usuario_799,Casa,USD,True,29,11,443.86,Eficiente
Usuario_800,Casa,CLP,True,28,9,523.53,Moderado
Usuario_801,Apartamento,MXN,True,18,8,144.71,Eficiente
Usuario_802,Comercio,COP,True,14,11,518.46,Eficiente
Usuario_803,Apartamento,MXN,False,18,7,289.66,Eficiente
Usuario_804,Comercio,BRL,True,28,10,726.1,Eficiente
Usuario_805,Comercio,COP,False,24,8,702.48,Eficiente
Usuario_806,Oficina,PEN,True,8,6,368.48,Eficiente
Usuario_807,Oficina,CLP,True,8,9,553.39,Ineficiente
Usuario_808,Oficina,PEN,False,4,3,363.27,Eficiente
Usuario_809,Apartamento,BRL,True,27,10,236.86,Eficiente
Usuario_810,Oficina,ARS,True,36,10,681.81,Eficiente
Usuario_811,Oficina,PEN,True,5,9,429.13,Moderado
Usuario_812,Casa,PEN,True,33,4,378.28,Eficiente
Usuario_813,Comercio,ARS,True,34,7,1114.41,Moderado
Usuario_814,Comercio,COP,False,30,13,900.66,Eficiente
Usuario_815,Oficina,ARS,True,8,9,720.68,Ineficiente
Usuario_816,Comercio,CLP,True,39,2,710.39,Eficiente
Usuario_817,Casa,PEN,False,26,2,478.75,Eficiente
Usuario_818,Casa,ARS,True,37,9,224.18,Eficiente
Usuario_819,Oficina,BRL,False,34,12,361.46,Eficiente
Usuario_820,Casa,BRL,True,7,13,281.07,Eficiente
Usuario_821,Comercio,PEN,True,28,3,701.37,Eficiente
Usuario_822,Apartamento,CLP,False,39,9,318.06,Eficiente
Usuario_823,Comercio,MXN,True,39,13,662.39,Eficiente
Usuario_824,Apartamento,CLP,False,28,5,276.02,Eficiente
Usuario_825,Oficina,USD,True,14,6,654.66,Moderado
Usuario_826,Apartamento,USD,True,38,2,260.96,Eficiente
Usuario_827,Casa,USD,True,4,8,335.03,Eficiente
Usuario_828,Comercio,PEN,True,18,11,823.94,Moderado
Usuario_829,Apartamento,BRL,False,25,9,207.3,Eficiente
Usuario_830,Comercio,COP,True,7,2,478.71,Eficiente
Usuario_831,Oficina,BRL,False,38,6,796.4,Eficiente
Usuario_832,Oficina,COP,False,28,6,363.59,Eficiente
Usuario_833,Casa,COP,True,5,8,235.32,Eficiente
Usuario_834,Oficina,BRL,True,3,10,739.27,Ineficiente
Usuario_835,Apartamento,PEN,False,31,12,198.4,Eficiente
Usuario_836,Oficina,CLP,False,20,5,625.15,Moderado
Usuario_837,Casa,COP,True,19,9,325.15,Eficiente
Usuario_838,Comercio,MXN,True,11,1,694.02,Eficiente
Usuario_839,Comercio,BRL,True,3,9,603.48,Eficiente
Usuario_840,Oficina,BRL,False,23,10,471.52,Eficiente
Usuario_841,Apartamento,USD,True,7,7,222.35,Eficiente
Usuario_842,Casa,CLP,False,23,4,462.15,Eficiente
Usuario_843,Apartamento,USD,True,7,3,244.54,Eficiente
Usuario_844,Casa,BRL,True,34,10,540.25,Eficiente
Usuario_845,Oficina,BRL,True,19,11,320.94,Eficiente
Usuario_846,Casa,COP,True,9,6,386.07,Eficiente
Usuario_847,Casa,CLP,True,18,12,414.48,Moderado
Usuario_848,Oficina,ARS,True,25,13,760.1,Moderado
Usuario_849,Apartamento,MXN,True,14,1,142.81,Eficiente
Usuario_850,Oficina,COP,True,25,3,586.75,Eficiente
Usuario_851,Casa,BRL,True,19,2,508.77,Eficiente
Usuario_852,Oficina,COP,False,39,11,420.96,Eficiente
Usuario_853,Casa,MXN,True,15,13,516.7,Moderado
Usuario_854,Oficina,BRL,True,16,9,309.52,Eficiente
Usuario_855,Comercio,MXN,True,27,3,932.72,Eficiente
Usuario_856,Comercio,ARS,False,10,13,1073.18,Ineficiente
Usuario_857,Oficina,COP,True,4,2,628.6,Moderado
Usuario_858,Apartamento,PEN,False,19,4,228.59,Eficiente
Usuario_859,Casa,COP,False,28,2,225.71,Eficiente
Usuario_860,Comercio,USD,False,21,1,1064.08,Moderado
Usuario_861,Apartamento,CLP,True,14,6,235.47,Eficiente
Usuario_862,Casa,CLP,False,33,10,220.15,Eficiente
Usuario_863,Comercio,USD,True,10,8,902.87,Moderado
Usuario_864,Comercio,BRL,True,19,10,757.29,Eficiente
Usuario_865,Oficina,CLP,False,30,10,362.17,Eficiente
Usuario_866,Casa,MXN,True,22,2,285.0,Eficiente
Usuario_867,Apartamento,CLP,False,3,9,146.19,Eficiente
Usuario_868,Apartamento,CLP,True,37,13,258.34,Eficiente
Usuario_869,Apartamento,USD,False,18,3,268.85,Eficiente
Usuario_870,Casa,BRL,True,11,8,387.01,Eficiente
Usuario_871,Apartamento,ARS,True,2,12,311.76,Ineficiente
Usuario_872,Apartamento,CLP,True,12,8,321.42,Moderado
Usuario_873,Apartamento,PEN,False,6,3,267.44,Moderado
Usuario_874,Oficina,CLP,True,29,3,306.38,Eficiente
Usuario_875,Oficina,ARS,True,30,12,647.61,Eficiente
Usuario_876,Casa,USD,True,2,6,356.3,Moderado
Usuario_877,Casa,ARS,False,9,1,407.95,Eficiente
Usuario_878,Apartamento,USD,True,2,4,274.8,Moderado
